keyword,weight
akademik,1.9242792860618816
akhir,1.7993405494535817
akreditasi,0.9242792860618817
akuntansi,1.4983105537896004
angkat,1.4983105537896004
apa,0.6455256851090527
arsitektur,1.4983105537896004
asrama,1.4014005407815442
atm,1.9242792860618816
awal,1.0791812460476249
bagaimana,1.5563025007672873
bahasa,1.360007855623319
bangun,2.100370545117563
bank,1.7024305364455252
banking,2.100370545117563
baru,1.6232492903979006
batas,1.360007855623319
bayar,1.0589778599593378
beasiswa,1.17095161940327
bentuk,2.100370545117563
berapa,0.46188128816292556
biaya,0.7993405494535817
bidik,2.100370545117563
bidikmisi,2.100370545117563
biologi,1.4983105537896004
bri,2.100370545117563
buka,2.100370545117563
cara,1.7024305364455252
cicil,1.9242792860618816
coba,2.100370545117563
corona,2.100370545117563
coronavirus,2.100370545117563
covid,2.100370545117563
daftar,0.6090088512832902
desain,1.4983105537896004
didik,1.17095161940327
dokter,0.7201593034059569
dpfp,2.100370545117563
durasi,2.100370545117563
fakultas,1.9242792860618816
formulir,1.7024305364455252
ganti,2.100370545117563
gelombang,1.0589778599593378
homeschooling,1.9242792860618816
hukum,2.100370545117563
ice,1.7024305364455252
informasi,1.7024305364455252
informatika,1.4983105537896004
inggris,1.360007855623319
jadwal,2.100370545117563
jalur,0.9864271928107261
jangka,2.100370545117563
jpa,2.100370545117563
jumlah,1.7024305364455252
jurus,1.100370545117563
kampus,1.9242792860618816
kandung,2.100370545117563
kapan,1.4471580313422192
khusus,1.9242792860618816
kini,2.100370545117563
kuliah,1.3222192947339193
kuota,1.7993405494535817
laksana,1.6232492903979006
laku,1.255272505103306
lalu,1.7024305364455252
lama,1.7024305364455252
luring,2.100370545117563
mahasiswa,1.1972805581256194
maksimal,1.9242792860618816
manajemen,1.4983105537896004
mandiri,1.7024305364455252
masa,1.9242792860618816
masuk,1.0791812460476249
milik,2.100370545117563
misi,2.100370545117563
nomor,2.100370545117563
offline,2.100370545117563
online,1.9242792860618816
pandemi,1.9242792860618816
pandemik,1.9242792860618816
per,1.7993405494535817
placement,2.100370545117563
pmb,1.7024305364455252
potong,1.9242792860618816
prestasi,1.4983105537896004
prodi,1.021189299069938
produk,1.4983105537896004
program,0.9700367766225568
punya,1.9242792860618816
reguler,1.3222192947339193
rekening,1.9242792860618816
satu,2.100370545117563
saudara,2.100370545117563
sedia,1.5563025007672873
sejak,1.9242792860618816
seleksi,1.0589778599593378
semua,1.7993405494535817
sipil,2.100370545117563
sistem,1.7024305364455252
siswa,2.100370545117563
skema,1.9242792860618816
studi,1.021189299069938
syarat,0.9242792860618817
tanggal,1.0791812460476249
teknik,2.100370545117563
teologi,0.8699216237392889
terima,1.255272505103306
tes,1.021189299069938
test,1.2253092817258628
tiga,2.100370545117563
uang,2.100370545117563
ubah,1.6232492903979006
uji,0.9700367766225568
ukdw,0.6853971971467449
wajib,1.6232492903979006
waktu,1.9242792860618816
