keyword,weight
akademik,0.0024752475247524753
akhir,0.0033003300330033004
akreditasi,0.024752475247524754
akuntansi,0.006600660066006601
angkat,0.006600660066006601
apa,0.04702970297029703
arsitektur,0.006600660066006601
asrama,0.00825082508250825
atm,0.0024752475247524753
awal,0.017326732673267328
bagaimana,0.005775577557755775
bahasa,0.009075907590759076
bangun,0.0016501650165016502
bank,0.004125412541254125
banking,0.0016501650165016502
baru,0.0049504950495049506
batas,0.009075907590759076
bayar,0.018151815181518153
beasiswa,0.014026402640264026
bentuk,0.0016501650165016502
berapa,0.07178217821782178
biaya,0.033003300330033
bidik,0.0016501650165016502
bidikmisi,0.0016501650165016502
biologi,0.006600660066006601
bri,0.0016501650165016502
buka,0.0016501650165016502
cara,0.004125412541254125
cicil,0.0024752475247524753
coba,0.0016501650165016502
corona,0.0016501650165016502
coronavirus,0.0016501650165016502
covid,0.0016501650165016502
daftar,0.05115511551155116
desain,0.006600660066006601
didik,0.014026402640264026
dokter,0.039603960396039604
dpfp,0.0016501650165016502
durasi,0.0016501650165016502
fakultas,0.0024752475247524753
formulir,0.004125412541254125
ganti,0.0016501650165016502
gelombang,0.018151815181518153
homeschooling,0.0024752475247524753
hukum,0.0016501650165016502
ice,0.004125412541254125
informasi,0.004125412541254125
informatika,0.006600660066006601
inggris,0.009075907590759076
jadwal,0.0016501650165016502
jalur,0.02145214521452145
jangka,0.0016501650165016502
jpa,0.0016501650165016502
jumlah,0.004125412541254125
jurus,0.0165016501650165
kampus,0.0024752475247524753
kandung,0.0016501650165016502
kapan,0.007425742574257425
khusus,0.0024752475247524753
kini,0.0016501650165016502
kuliah,0.009900990099009901
kuota,0.0033003300330033004
laksana,0.0049504950495049506
laku,0.01155115511551155
lalu,0.0049504950495049506
lama,0.004125412541254125
luring,0.0016501650165016502
mahasiswa,0.013201320132013201
maksimal,0.0024752475247524753
manajemen,0.006600660066006601
mandiri,0.004125412541254125
masa,0.0024752475247524753
masuk,0.017326732673267328
milik,0.0016501650165016502
misi,0.0016501650165016502
nomor,0.0016501650165016502
offline,0.0016501650165016502
online,0.0024752475247524753
pandemi,0.0024752475247524753
pandemik,0.0024752475247524753
per,0.0033003300330033004
placement,0.0016501650165016502
pmb,0.004125412541254125
potong,0.0024752475247524753
prestasi,0.006600660066006601
prodi,0.019801980198019802
produk,0.006600660066006601
program,0.022277227722772276
punya,0.0024752475247524753
reguler,0.009900990099009901
rekening,0.0024752475247524753
satu,0.0016501650165016502
saudara,0.0016501650165016502
sedia,0.005775577557755775
sejak,0.0024752475247524753
seleksi,0.018151815181518153
semua,0.0033003300330033004
sipil,0.0016501650165016502
sistem,0.004125412541254125
siswa,0.0016501650165016502
skema,0.0024752475247524753
studi,0.019801980198019802
syarat,0.024752475247524754
tanggal,0.017326732673267328
teknik,0.0016501650165016502
teologi,0.028052805280528052
terima,0.01155115511551155
tes,0.019801980198019802
test,0.012376237623762377
tiga,0.0016501650165016502
uang,0.0016501650165016502
ubah,0.0049504950495049506
uji,0.022277227722772276
ukdw,0.0429042904290429
wajib,0.0049504950495049506
waktu,0.0024752475247524753
